no,source_variables,mapping_status,notes_add
2.41a,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Car incl. private taxi=code 06 of ONE multi-select Q73 (see 2.36)
2.41b,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Car incl. private taxi=code 06 of ONE multi-select Q73 (see 2.36)
2.42a,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Motorcycle=code 07 of ONE multi-select Q73 (see 2.36)
2.42b,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Motorcycle=code 07 of ONE multi-select Q73 (see 2.36)
2.43a,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Boat=code 08 of ONE multi-select Q73 (see 2.36)
2.43b,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Boat=code 08 of ONE multi-select Q73 (see 2.36)
2.44a,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Taxi=code 09 of ONE multi-select Q73 (see 2.36)
2.44b,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Taxi=code 09 of ONE multi-select Q73 (see 2.36)
2.45a,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Pedicab=code 10 of ONE multi-select Q73 (see 2.36)
2.45b,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Pedicab=code 10 of ONE multi-select Q73 (see 2.36)
2.46a,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) E-bike=code 11 of ONE multi-select Q73 (see 2.36)
2.46b,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) E-bike=code 11 of ONE multi-select Q73 (see 2.36)
2.47a,"Q131_AMEN_WAITING,Q132_AMEN_BATHROOMS,Q133_AMEN_CONSULT_ROOMS,Q134_AMEN_ROOMS,Q135_SAT_OVERALL_TIME,Q136_STAFF_COURTESY,Q137_STAFF_LISTEN,Q138_STAFF_EXPLAIN,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY",partial,derived indicator (responsiveness score) from Section J items; Q134 rooms=inpatient only
2.47b,"Q131_AMEN_WAITING,Q132_AMEN_BATHROOMS,Q133_AMEN_CONSULT_ROOMS,Q135_SAT_OVERALL_TIME,Q136_STAFF_COURTESY,Q137_STAFF_LISTEN,Q138_STAFF_EXPLAIN,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY",partial,derived indicator (responsiveness score) from Section J items; Q134 rooms excluded for outpatients
2.48a,"Q136_STAFF_COURTESY,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY",partial,"derived indicator: dignity=Q136/Q142, autonomy=Q139/Q140, confidentiality=Q141"
2.48b,"Q136_STAFF_COURTESY,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY",partial,"derived indicator: dignity=Q136/Q142, autonomy=Q139/Q140, confidentiality=Q141"
2.49a,"Q136_STAFF_COURTESY,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY",partial,"as printed, duplicates 2.48; derived indicator (see 2.48)"
2.49b,"Q136_STAFF_COURTESY,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY",partial,"as printed, duplicates 2.48; derived indicator (see 2.48)"
2.50a,"Q135_SAT_OVERALL_TIME,Q136_STAFF_COURTESY,Q137_STAFF_LISTEN,Q138_STAFF_EXPLAIN,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY,Q143_RECOMMEND,Q144_QUALITY",partial,"derived indicator (experience score) from Section J; dims: SES=Q29_SEC_CLASS, sex=Q7_SEX, residence=P_* geo, facility level=frame"
2.50b,"Q135_SAT_OVERALL_TIME,Q136_STAFF_COURTESY,Q137_STAFF_LISTEN,Q138_STAFF_EXPLAIN,Q139_STAFF_DECIDE,Q140_STAFF_CONSENT,Q141_CONFIDENTIALITY,Q142_PRIVACY,Q143_RECOMMEND,Q144_QUALITY",partial,"derived indicator (experience score) from Section J; dims: SES=Q29_SEC_CLASS, sex=Q7_SEX, residence=P_* geo, facility level=frame"
2.51,,gap,no room/board OOP item on F3; 115.1/97.1 bill itemizations lack rooms; bill rosters are by pay source not line item
2.52,"Q92_PAY_SRC,Q92_PAY_AMT,Q1141_1_AMT",partial,(roster) OPD direct=OOP rows of Q92 roster; inpatient proxy=115.1 doctor's PF amount
2.53,"Q94_LAB_PAY,Q94_LAB_AMT,Q1141_4_AMT,Q112_PAY_AMT",mapped,(roster) OPD per-test Q94; IPD=115.1 diagnostics + outside-services Q112 OOP rows
2.54,"Q96_PAY_SRC,Q96_PAY_AMT,Q109_PAY_SRC,Q109_PAY_AMT,Q1141_5_AMT",mapped,(roster) OPD Q96; IPD outside-meds Q109 + 115.1 in-bill medicines; OOP rows only
2.55,Q119_ZBB_HEARD,mapped,split via PATIENT_TYPE (see 2.1)
2.56a,Q120_ZBB_SOURCE,mapped,(checkbox multi)
2.56b,Q120_ZBB_SOURCE,mapped,(checkbox multi)
2.57a,Q121_ZBB_UNDERSTAND,mapped,(checkbox multi) correctness scored from codes
2.57b,Q121_ZBB_UNDERSTAND,mapped,(checkbox multi) correctness scored from codes
2.58,Q99_BUCAS_HEARD,mapped,asked only where AREA_HAS_BUCAS=1; split via PATIENT_TYPE (see 2.1)
2.59a,Q100_BUCAS_SOURCE,mapped,(checkbox multi)
2.59b,Q100_BUCAS_SOURCE,mapped,(checkbox multi)
2.60a,Q101_BUCAS_UNDERSTAND,mapped,(checkbox multi) benefit identification scored from codes
2.60b,Q101_BUCAS_UNDERSTAND,mapped,(checkbox multi) benefit identification scored from codes
2.61a,"Q103_BUCAS_SERVICES,Q102_BUCAS_ACCESSED",mapped,(checkbox multi) universe filter Q102=Yes
2.61b,"Q103_BUCAS_SERVICES,Q102_BUCAS_ACCESSED",mapped,(checkbox multi) universe filter Q102=Yes
2.62,Q152_GAMOT_HEARD,mapped,asked only where AREA_HAS_GAMOT=1; split via PATIENT_TYPE (see 2.1)
2.63a,Q153_GAMOT_SOURCE,mapped,(checkbox multi)
2.63b,Q153_GAMOT_SOURCE,mapped,(checkbox multi)
2.64a,Q154_GAMOT_UNDERSTAND,mapped,(checkbox multi) correctness scored from codes
2.64b,Q154_GAMOT_UNDERSTAND,mapped,(checkbox multi) correctness scored from codes
2.65,"Q6_AGE,Q7_SEX,Q9_GROUP,Q10_CIVIL_STATUS,Q11_PWD,Q15_EDUCATION,Q16_EMPLOYMENT,Q17_INCOME_SOURCE,Q18_INCOME_BRACKET,Q19_HH_SIZE,Q29_SEC_CLASS,Q30_IP,Q32_4PS",mapped,Section B profile battery; add Q8_LGBTQIA/asset items Q22-Q28 as needed
