no,annex,instrument,description,stat_type,universe,breakdown,weight,source_variables,mapping_status,notes
1.10,1,F1,"Percentage distribution of basic services outsourced by YAKAP/Konsulta provider or primary care providers, over the past 6 months, by facility type (n=1,521)",percent distribution,"all facility heads (n=1,521)",by facility type,facility wf,Q160_EXTERNAL_SERVICES_GO (checkbox multi),partial,No 'services outsourced' item; Q160=where patients go for unavailable services is nearest proxy; no 6-mo window
1.11,1,F1,"Percentage distribution of top methods of outbound referral, by facility type (n=1,521)",percent distribution,"all facility heads (n=1,521)",by facility type,facility wf,Q155_SEND_REFERRAL_HOW (checkbox multi),mapped,Checkbox multi; split to dummies
1.12,1,F1,"Percentage distribution of top methods of inbound referral of hospitals, by facility type (n=1,521)",percent distribution,hospitals,by facility type,facility wf,Q159_RECEIVE_REFERRAL_HOW (checkbox multi),mapped,Checkbox multi; inbound-referral question; universe=hospitals
1.13,1,F1,"Percent distribution of primary care providers who have a network of specialist providers or referral health facilities to refer patients to, by facility type (n=1,521)",percent distribution,primary care providers,by facility type,facility wf,Q157_SPECIALIST_NETWORK,mapped,Universe=primary care providers (Q8_SERVICE_LEVEL=1)
1.14,1,F1,"Percent distribution of the facility head respondents’ satisfaction rate for the referral system over the past 6 months, by facility type (n=1,521)",percent distribution,"all facility heads (n=1,521)",by facility type,facility wf,Q161_REF_SATISFACTION,mapped,
1.15,1,F1,"Percent distribution of top challenges for facilities in the referral system, by facility type (n=1,521)",percent distribution,"all facility heads (n=1,521)",by facility type,facility wf,Q162_NOT_SATISFIED_WHY (checkbox multi),partial,"No direct referral-challenges battery; Q162=why not satisfied, asked only if Q161 dissatisfied — biased universe"
1.16,1,F1,"Percent distribution of facilities that are DOH licensed, at the point of survey, by facility type (n=1,521)",percent distribution,"all facilities (n=1,521)",by facility type,facility wf,Q118_DOH_LICENSED,mapped,
1.17a,1,F1,"Percent distribution of top barriers in DOH licensing for rural/city health unit, for the most recent application (n=911)",percent distribution,rural/city health units (n=911),none stated,facility wf,Q121_DOH_LIC_DIFFICULT (checkbox multi),mapped,no parent Table 1.17 printed; only 1.17a/1.17b | Checkbox multi; filter facility_type=RHU/CHO
1.17b,1,F1,"Percent distribution of top barriers in DOH licensing for hospitals, for the most recent application",percent distribution,hospitals,none stated,facility wf,Q121_DOH_LIC_DIFFICULT (checkbox multi),mapped,no n= printed (cf. 1.17a n=911) | Checkbox multi; filter facility_type=hospital (L1-L3)
1.18,1,F1,"Percentage distribution of the average number of days to DOH licensing for the facility's most recent application, by facility type (n=1,521)",percent distribution,"all facility heads (n=1,521)",by facility type,facility wf,Q120_LIC_DAYS,mapped,
1.19,1,F1,"Percentage distribution of facilities who provide NBB to 100% of eligible patients, over the past 6 months, by facility type",percent distribution,facilities,by facility type,facility wf,"Q135_NBB_CURR,Q136_NBB_ALL_PATIENTS",mapped,"Indicator: Q136=Yes among Q135=Yes (implements NBB for all patients, last 6 mo)"
1.20,1,F1,"Percentage distribution of primary care facilities experiencing stock-outs of tracer essential medicines (e.g., antihypertensives, antibiotics) for more than 7 days in the past quarter",percent distribution,primary care facilities,none stated,facility wf,"Q112_STOCKOUT,Q113_STOCKOUT_MEDS,Q114_STOCKOUT_DURATION,Q115_STOCKOUT_AVG",mapped,Flag derived: Q112=1 & Q114>7 days (past 3 mo=quarter); Q113 free-text med list; universe primary care (Q8=1)
1.21,1,F1,"Percentage distribution of primary care facilities experiencing stock-outs of tracer essential medicines (e.g., antihypertensives, antibiotics) for more than 7 days in the past quarter (continued)",percent distribution,primary care facilities,none stated,facility wf,"Q112_STOCKOUT,Q113_STOCKOUT_MEDS,Q114_STOCKOUT_DURATION,Q115_STOCKOUT_AVG",mapped,"printed as (continued) of Table 1.20 | Split pair with 1.20 — same Q112-Q115 stock-out battery, continued panel"
1.22,1,F1,Percentage distribution of patients successfully referred to a higher-level facility within the network (HCPN) who received care,percent distribution,patients referred to higher-level facility within HCPN,none stated,facility wf,Q154_NUM_REFERRED_OUT,partial,F1 has only outbound referral count Q154 (past 6 mo); no received-care outcome in F1 — numerator is patient-side (F3)
1.23,1,F1,Percentage distribution of facilities submitting routine health and financial data to DOH Information System and/or PhilHealth Dashboard,percent distribution,facilities,none stated,facility wf,Q32_DATA_SUBMIT,mapped,
1.24,1,F1,Percentage distribution on the frequency of health and financial data submissions to DOH Information System and/or PhilHealth Dashboard,percent distribution,facilities,none stated,facility wf,Q33_DATA_FREQ,mapped,
1.25,1,F1,Percentage distribution of the submitted health and financial data reports used for decision-making,percent distribution,facilities,none stated,facility wf,Q34_DATA_REPORTS_USED (checkbox multi),mapped,Checkbox multi; split to dummies
1.26,1,F1,Percentage distribution of facility head respondents who report clearly defined roles and autonomy vis-à-vis the LGU/Provincial Health Office,percent distribution,facility heads,none stated,facility wf,Q152_PHO_PROTOCOL_CLARITY,mapped,Q152=clarity rating of PHO-vs-facility decision protocols
1.27,1,F1,Percentage distribution of facility head respondents who reported delays in receiving capitation tranches,percent distribution,facility heads,none stated,facility wf,Q61_TRANCHE_DELAY,mapped,
1.28,1,F1,Percentage distribution on the average time interval between tranches releases to the facility,percent distribution,facilities,none stated,facility wf,Q62_TRANCHE_INTERVAL,mapped,
1.29,1,F1,Percentage distribution of facility heads by role in the health facility,percent distribution,facility heads,by role in the health facility,facility wf,Q2_FACILITY_ROLE,mapped,
1.30,1,F1,Percentage distribution of facility heads by age group,percent distribution,facility heads,by age group,facility wf,Q3_AGE,mapped,Age bands derived from continuous Q3_AGE
1.31,1,F1,Percentage distribution of facility heads by sex at birth,percent distribution,facility heads,by sex at birth,facility wf,Q4_SEX,mapped,
1.32,1,F1,Percentage distribution of health facilities by service capacity level,percent distribution,health facilities,by service capacity level,facility wf,Q8_SERVICE_LEVEL,mapped,
2.1,2,F3,"Percent of inpatient and outpatient respondents who have heard about UHC, by province",percent,inpatients+outpatients,by province × in/outpatient,patient wf,"Q35_UHC_HEARD,PATIENT_TYPE",mapped,"PATIENT_TYPE=in(2)/out(1) split used by ALL a/b tables; province dim=PROVINCE_HUC_CODE (PSGC, see codebook)"
2.2a,2,F3,"Percent distribution of source of information about UHC of inpatient respondents, by province",percent distribution,inpatients,by province,patient wf,Q36_UHC_SOURCE,mapped,(checkbox multi) UAT-converted tick-all; in/out split via PATIENT_TYPE (see 2.1)
2.2b,2,F3,"Percent distribution of source of information about UHC of outpatient respondents, by province",percent distribution,outpatients,by province,patient wf,Q36_UHC_SOURCE,mapped,(checkbox multi) UAT-converted tick-all; in/out split via PATIENT_TYPE (see 2.1)
2.3,2,F3,"Percent distribution of inpatient and outpatient respondents who identify as registered to PhilHealth, by province",percent distribution,inpatients+outpatients,by province × in/outpatient,patient wf,Q38_PHILHEALTH_REG,mapped,reinstated Q38_1_PIN_WHEN adds when-registered detail; split via PATIENT_TYPE (see 2.1)
2.4,2,F3,"Percentage distribution of unregistered inpatient and outpatient who know where to seek assistance for the registration process, by province",percent distribution,unregistered inpatients+outpatients,by province × in/outpatient,patient wf,"Q43_KNOWS_ASSIST,Q38_PHILHEALTH_REG",mapped,universe filter Q38=No; Q44_WHERE_ASSIST gives where; split via PATIENT_TYPE (see 2.1)
2.5a,2,F3,"Percentage distribution of inpatient respondents’ source of information on PhilHealth registration, by province",percent distribution,inpatients,by province,patient wf,Q39_HOW_FIND_OUT,mapped,single-select source of info on PhilHealth registration
2.5b,2,F3,"Percentage distribution of outpatient respondents’ source of information on PhilHealth registration, by province",percent distribution,outpatients,by province,patient wf,Q39_HOW_FIND_OUT,mapped,single-select source of info on PhilHealth registration
2.6a,2,F3,"Percentage distribution of inpatient respondents who can correctly list PhilHealth benefits under UHC reforms, by province",percent distribution,inpatients,by province,patient wf,Q46_BENEFITS,mapped,(checkbox multi) correctness scored from codes 01-03 vs 04/90
2.6b,2,F3,"Percentage distribution of outpatient respondents who can correctly list PhilHealth benefits under UHC reforms, by province",percent distribution,outpatients,by province,patient wf,Q46_BENEFITS,mapped,(checkbox multi) correctness scored from codes 01-03 vs 04/90
2.7,2,F3,"Percentage distribution of inpatient and outpatient respondents who have heard about YAKAP/Konsulta provider assignment under UHC, by province",percent distribution,inpatients+outpatients,by province × in/outpatient,patient wf,Q74_KON_HEARD,mapped,split via PATIENT_TYPE (see 2.1)
2.8a,2,F3,Percentage distribution of inpatient respondents who can identify the benefits under the PhilHealth YAKAP/Konsulta package,percent distribution,inpatients,none stated,patient wf,Q76_KON_UNDERSTAND,mapped,(checkbox multi) benefit identification scored from codes
2.8b,2,F3,Percentage distribution of outpatient respondents who can identify the benefits under the PhilHealth YAKAP/Konsulta package,percent distribution,outpatients,none stated,patient wf,Q76_KON_UNDERSTAND,mapped,(checkbox multi) benefit identification scored from codes
2.9a,2,F3,"Percentage distribution of inpatient respondents who state that they would visit the YAKAP/Konsulta provider or primary care provider as their first point of contact, by province",percent distribution,inpatients,by province,patient wf,"Q80_KON_KNOWS_BOOKING,Q53_HAS_PCP",partial,no direct first-point-of-contact item on F3; proxy=Q80 (knows to book Konsulta when sick)+Q53 has PCP
2.9b,2,F3,"Percentage distribution of outpatient respondents who state that they would visit the YAKAP/Konsulta provider or primary care provider as their first point of contact, by province",percent distribution,outpatients,by province,patient wf,"Q80_KON_KNOWS_BOOKING,Q53_HAS_PCP",partial,no direct first-point-of-contact item on F3; proxy=Q80 (knows to book Konsulta when sick)+Q53 has PCP
2.10a,2,F3,"Percentage distribution of inpatient respondents’ top challenges in registration to PhilHealth for those who have undergone the registration process (including those who did not register successfully) in the past year, by province",percent distribution,inpatients who have undergone the registration process,by province,patient wf,"Q42_DIFFICULTY,Q41_REG_DIFFICULTY,Q38_2_WHY_NOT_REG",mapped,(checkbox multi) Q42=registered path; reinstated Q38_2 tick-all covers unregistered/unsuccessful
2.10b,2,F3,"Percentage distribution of outpatient respondents’ top challenges in registration to PhilHealth for those who have undergone the registration process (including those who did not register successfully) in the past year, by province",percent distribution,outpatients who have undergone the registration process,by province,patient wf,"Q42_DIFFICULTY,Q41_REG_DIFFICULTY,Q38_2_WHY_NOT_REG",mapped,(checkbox multi) Q42=registered path; reinstated Q38_2 tick-all covers unregistered/unsuccessful
2.11a,2,F3,"Percent distribution of inpatient respondents by type of PhilHealth member who self-report to have struggled to pay premiums in the past year, by province",percent distribution,inpatient PhilHealth members,by PhilHealth member type × province,patient wf,"Q45_CATEGORY,Q49_PREMIUM_DIFFICULT,Q48_PREMIUM_PAY",mapped,member type=Q45; struggled=Q49 (filter Q48=pays premiums)
2.11b,2,F3,"Percent distribution of outpatient respondents by type of PhilHealth member who self-report to have struggled to pay premiums in the past year, by province",percent distribution,outpatient PhilHealth members,by PhilHealth member type × province,patient wf,"Q45_CATEGORY,Q49_PREMIUM_DIFFICULT,Q48_PREMIUM_PAY",mapped,member type=Q45; struggled=Q49 (filter Q48=pays premiums)
2.12,2,F3,"Percent distribution of inpatient and outpatient respondents that have registered to a YAKAP/Konsulta provider, by province",percent distribution,inpatients+outpatients,by province × in/outpatient,patient wf,Q77_KON_REGISTERED,mapped,split via PATIENT_TYPE (see 2.1)
2.13,2,F3,"Percent distribution of inpatient and outpatient respondents who have consulted their assigned YAKAP/Konsulta provider since registering, by province",percent distribution,inpatients+outpatients registered to a YAKAP/Konsulta provider,by province × in/outpatient,patient wf,"Q79_KON_HAD_APPT,Q77_KON_REGISTERED",mapped,universe filter Q77=Yes; split via PATIENT_TYPE (see 2.1)
2.14,2,F3,"Percent distribution of inpatient and outpatient respondents in HCPN that were referred from YAKAP/Konsulta provider or primary care provider, for most recent interaction, by province",percent distribution,inpatients+outpatients in HCPN,by province × in/outpatient,patient wf,Q172_PCP_REFERRAL,partial,referral-from-PCP/Konsulta=Q172; 'in HCPN' universe has no F3 flag — define analytically
2.15,2,F3,"Percent distribution of inpatient and outpatient respondents that received assistance in making the appointment for that visit, by province",percent distribution,inpatients+outpatients,by province × in/outpatient,patient wf,"Q167_HELPED_APPT,Q175_PCP_HELPED_APPT",mapped,referral path Q167; PCP path Q175; split via PATIENT_TYPE (see 2.1)
2.16,2,F3,"Percent distribution of inpatient and outpatient respondents that received assistance by discussing with them the different places they could visit to address their health problem, by province",percent distribution,inpatients+outpatients,by province × in/outpatient,patient wf,"Q166_DISCUSSED_OPTIONS,Q174_PCP_DISCUSSED",mapped,referral path Q166; PCP path Q174; split via PATIENT_TYPE (see 2.1)
2.17a,2,F3,"Percentage distribution of inpatient respondents’ overall satisfaction rate with the referral system process for most recent interaction at the time of survey, by province",percent distribution,inpatients,by province,patient wf,Q178_SAT_REFERRAL,mapped,
2.17b,2,F3,"Percentage distribution of outpatient respondents’ overall satisfaction rate with the referral system process for most recent interaction at the time of survey, by province",percent distribution,outpatients,by province,patient wf,Q178_SAT_REFERRAL,mapped,
2.18,2,F3,"Percent distribution of inpatient and outpatient respondents who can correctly define a generic drug, by province",percent distribution,inpatients+outpatients,by province × in/outpatient,patient wf,Q158_BRAND_GEN_KNOW,partial,self-reported knows-difference only; no open definition item to score 'correctly define'
2.19,2,F3,"Percentage distribution of inpatient and outpatient respondents who chose a generic drug when buying medication, for last interaction, by province",percent distribution,inpatients+outpatients,by province × in/outpatient,patient wf,Q159_BRAND_GEN_BOUGHT,mapped,"asked for meds bought outside GAMOT pharmacy, last purchase"
2.20a,2,F3,"Percentage distribution of inpatient respondents’ reasons to purchase generic options (prescribed by doctor, cheaper, etc.) in the past 6 months, by province",percent distribution,inpatients,by province,patient wf,Q160_WHY_GENERIC,mapped,(checkbox multi)
2.20b,2,F3,"Percentage distribution of outpatient respondents’ reasons to purchase generic options (prescribed by doctor, cheaper, etc.) in the past 6 months, by province",percent distribution,outpatients,by province,patient wf,Q160_WHY_GENERIC,mapped,(checkbox multi)
2.21a,2,F3,"Percentage distribution of inpatient respondents’ reasons to purchase branded options (prescribed by doctor, cheaper, etc.) in the past 6 months, by province",percent distribution,inpatients,by province,patient wf,Q161_WHY_BRANDED,mapped,(checkbox multi)
2.21b,2,F3,"Percentage distribution of outpatient respondents’ reasons to purchase branded options (prescribed by doctor, cheaper, etc.) in the past 6 months, by province",percent distribution,outpatients,by province,patient wf,Q161_WHY_BRANDED,mapped,(checkbox multi)
2.22a,2,F3,"Percent distribution of inpatient respondents that accessed medications for free or subsidized, in the last 6 months, by province",percent distribution,inpatients,by province,patient wf,"Q109_SOURCES,Q96_SOURCES,Q155_GAMOT_GOT_MEDS,Q157_WHERE_REST",partial,no single free/subsidized-meds item; derive from free/donation codes in meds pay sources + GAMOT receipt (checkbox multi)
2.22b,2,F3,"Percent distribution of outpatient respondents that accessed medications for free or subsidized, in the last 6 months, by province",percent distribution,outpatients,by province,patient wf,"Q96_SOURCES,Q109_SOURCES,Q155_GAMOT_GOT_MEDS,Q157_WHERE_REST",partial,no single free/subsidized-meds item; derive from free/donation codes in meds pay sources + GAMOT receipt (checkbox multi)
2.23a,2,F3,"Percent distribution of inpatient respondents’ top sources of medicine subsidization (i.e., LGU, employer, etc.) in the past 6 months",percent distribution,inpatients,none stated,patient wf,"Q157_WHERE_REST,Q109_SOURCES,Q96_SOURCES",partial,no LGU/employer subsidy-source battery; nearest=Q157 free-source codes 05-08 + free/donation pay codes (checkbox multi)
2.23b,2,F3,"Percent distribution of outpatient respondents’ top sources of medicine subsidization (i.e., LGU, employer, etc.) in the past 6 months",percent distribution,outpatients,none stated,patient wf,"Q157_WHERE_REST,Q96_SOURCES,Q109_SOURCES",partial,no LGU/employer subsidy-source battery; nearest=Q157 free-source codes 05-08 + free/donation pay codes (checkbox multi)
2.24a,2,F3,"Percentage distribution of inpatient respondents’ that have accessed to alternate financial assistance program/s to help cover medical costs, for most recent interaction, out of all patients",percent distribution,all inpatients,none stated,patient wf,"Q113_SOURCES,Q126_MAIFIP_AVAILED",partial,derived from assistance codes 04-07 of Q113 (checkbox multi) + MAIFIP Q126; no direct fin-assist item
2.24b,2,F3,"Percentage distribution of outpatient respondents’ that have accessed to alternate financial assistance program/s to help cover medical costs, for most recent interaction, out of all patients",percent distribution,all outpatients,none stated,patient wf,Q98_SOURCES,partial,"derived from assistance codes 04-06,09 of Q98 (checkbox multi); no direct fin-assist item"
2.25a,2,F3,"Percentage distribution of inpatient respondents’ that have accessed to alternate financial assistance program/s to help cover medical costs, for most recent interaction, out of billed patients",percent distribution,billed inpatients,none stated,patient wf,"Q113_SOURCES,Q126_MAIFIP_AVAILED,Q115_FINAL_CASH",partial,as 2.24a; 'billed' universe inferred from bill items/final cash — no explicit billed flag
2.25b,2,F3,"Percentage distribution of outpatient respondents’ that have accessed to alternate financial assistance program/s to help cover medical costs, for most recent interaction, out of billed patients",percent distribution,billed outpatients,none stated,patient wf,"Q98_SOURCES,Q97_FINAL_AMOUNT",partial,as 2.24b; 'billed' universe inferred from bill/final amount — no explicit billed flag
2.26,2,F3,Percentage distribution of inpatient and outpatient respondents’ NBB-eligible who received NBB for most recent interaction,percent distribution,NBB-eligible inpatients+outpatients,none stated,patient wf,"Q45_CATEGORY,Q115_FINAL_CASH,Q113_SOURCES,Q107_SOURCES",partial,derived indicator: NBB eligibility from Q45 member category; receipt inferred from zero cash at discharge/PhilHealth-covered codes
2.27,2,F3,Percentage distribution of inpatient and outpatient respondents’ NBB-eligible who received ZBB for most recent interaction,percent distribution,NBB-eligible inpatients+outpatients,none stated,patient wf,"Q45_CATEGORY,Q122_ZBB_INFORMED,Q123_ZBB_EXTENT",partial,derived indicator: eligibility via Q45; no direct received-ZBB item — infer from Q122/Q123
2.28a,2,F3,"Summary of alternate financial assistance program/s covering the inpatients’ medical costs, in their most recent interaction",summary,inpatients,none stated,patient wf,"Q113_PAY_SRC,Q113_PAY_AMT",mapped,(roster) assistance rows=codes 04-07 of Q113 with amounts
2.28b,2,F3,"Summary of alternate financial assistance program/s covering the outpatients’ medical costs, in their most recent interaction",summary,outpatients,none stated,patient wf,"Q98_PAY_SRC,Q98_PAY_AMT",mapped,"(roster) assistance rows=codes 04-06,09 of Q98 with amounts"
2.29,2,F3,Catastrophic health expenditure at the 25% and 40% thresholds across different subgroups among patients within UHC-IS and Non-UHC-IS,percent,inpatients+outpatients (UHC-IS and Non-UHC-IS),by subgroup × UHC-IS/Non-UHC-IS,patient wf,"Q18_INCOME_AMOUNT,CLASSIFICATION,Q92_PAY_AMT,Q94_LAB_AMT,Q96_PAY_AMT,Q97_FINAL_AMOUNT,Q971_PAY_AMT,Q972_PAY_AMT,Q107_PAY_AMT,Q109_PAY_AMT,Q112_PAY_AMT,Q113_PAY_AMT,Q115_FINAL_CASH",partial,derived indicator (CHE 25%/40%): OOP summed from expenditure rosters (roster) vs income Q18; UHC-IS flag=CLASSIFICATION
2.30,2,F3,"Percentage distribution of inpatient and outpatient respondents that use loan/mortgage to pay for medical costs, for most recent interaction",percent distribution,inpatients+outpatients,none stated,patient wf,"Q98_SOURCES,Q113_SOURCES",mapped,(checkbox multi) Loan/Mortgage=code 02 in both; amounts in Q98/Q113 rosters
2.31,2,F3,"Percentage distribution of inpatient and outpatient respondents that use sale of assets to pay for medical costs, for most recent interaction",percent distribution,inpatients+outpatients,none stated,patient wf,Q98_SOURCES,partial,(checkbox multi) Sale of Assets=Q98 code 07 (outpatient only); inpatient Q113 has no asset-sale code
2.32,2,F3,"Percentage distribution of inpatient and outpatient respondents that experience incidence of reduced care due to financial reasons among the population, for most recent interaction",percent distribution,inpatients+outpatients,none stated,patient wf,"Q130_REDUCED_SPEND,Q90_NOT_CONFINED",partial,no direct reduced-care item; proxies=Q130 reduced essential spending + Q90 codes 02/03 (cost) for forgone admission
2.33a,2,F3,"Health care expenditures of inpatient respondents by type of facility, for the most recent interaction, by province",summary,inpatients,by facility type × province,patient wf,"Q107_PAY_AMT,Q109_PAY_AMT,Q112_PAY_AMT,Q113_PAY_AMT,Q115_FINAL_CASH",partial,"(roster) sum inpatient expenditure rosters + 115.1/115.2 amounts; facility-type dim from sample frame, not an F3 item"
2.33b,2,F3,"Health care expenditures of outpatient respondents by type of facility, for the most recent interaction, by province",summary,outpatients,by facility type × province,patient wf,"Q92_PAY_AMT,Q94_LAB_AMT,Q96_PAY_AMT,Q97_FINAL_AMOUNT,Q971_PAY_AMT,Q972_PAY_AMT",partial,"(roster) sum outpatient expenditure rosters; facility-type dim from sample frame, not an F3 item"
2.34a,2,F3,"Average time (in minutes) of inpatient respondents to access nearest health facility for the latest visit, by province",average,inpatients,by province,patient wf,"Q72_NEAREST_TRAVEL_HH,Q72_NEAREST_TRAVEL_MM",mapped,F3 asks nearest primary care facility; convert HH+MM to minutes
2.34b,2,F3,"Average time (in minutes) of outpatient respondents to access nearest health facility for the latest visit, by province",average,outpatients,by province,patient wf,"Q72_NEAREST_TRAVEL_HH,Q72_NEAREST_TRAVEL_MM",mapped,F3 asks nearest primary care facility; convert HH+MM to minutes
2.35a,2,F3,"Average costs spent of inpatient respondents on going to the nearest health facility for the latest visit, by level of care",average,inpatients,by level of care,patient wf,Q1142_4_AMT,partial,no transport-cost-to-nearest-facility item; proxy=visit transport spend 115.2; level-of-care dim from frame
2.35b,2,F3,"Average costs spent of outpatient respondents on going to the nearest health facility for the latest visit, by level of care",average,outpatients,by level of care,patient wf,"Q972_PAY_SRC,Q972_PAY_AMT",partial,(roster) no transport-cost-to-nearest-facility item; proxy=travel rows (code 05) of Q97.2; level-of-care dim from frame
2.36a,2,F3,Percentage distribution of inpatient respondents that walk as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,inpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Walk=code 01 of ONE multi-select Q73; same source var for all of 2.36-2.46
2.36b,2,F3,Percentage distribution of outpatient respondents that walk as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,outpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Walk=code 01 of ONE multi-select Q73; same source var for all of 2.36-2.46
2.37a,2,F3,Percentage distribution of inpatient respondents that ride a bike as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,inpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Bike=code 02 of ONE multi-select Q73 (see 2.36)
2.37b,2,F3,Percentage distribution of outpatient respondents that ride a bike as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,outpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Bike=code 02 of ONE multi-select Q73 (see 2.36)
2.38a,2,F3,Percentage distribution of inpatient respondents that ride a public bus as mode of transportation used on going to the nearest health facility for the latest visit,percent distribution,inpatients,none stated,patient wf,Q73_NEAREST_TRANSPORT,mapped,(checkbox multi) Public Bus=code 03 of ONE multi-select Q73 (see 2.36)
